Org,Technologies,Slots,Ideas Page,Contact,2018
Performance Co-Pilot,"python, redis, c, linux, javascript",2,https://pcp.io/gsoc/2019/ideas.html,https://pcp.io/community.html,2019
Pharo Consortium,"pharo, squeak, smalltalk, ide, os",7,http://gsoc.pharo.org/,https://discordapp.com/invite/QewZMZa,2019
phpMyAdmin,"php, mysql, bootstrap, javascript, cakephp",2,https://github.com/phpmyadmin/phpmyadmin/wiki/GSoC_2019_ideas_list,https://lists.phpmyadmin.net/mailman/listinfo/developers,2019
Pitivi,"python 3, gtk, gstreamer, c",3,http://developer.pitivi.org/GSoC_Ideas.html,http://www.pitivi.org/?go=contact,2019
PostgreSQL,"postgresql, sql, rdbms, c",4,https://wiki.postgresql.org/wiki/GSoC_2019,https://www.postgresql.org/community/irc/,2019
Project PANOPTES,"python 3, arduino, cloud",2,https://projectpanoptes.org/gsoc-2019/,https://forum.projectpanoptes.org/c/GSoC-2019,2019
Public Lab,"ruby on rails, javascript, node.js, raspberry pi",12,https://publiclab.org/gsoc-ideas,https://publiclab.org/chat,2019
Purr Data,"javascript, node.js,  html5,  c/c++",1,https://git.purrdata.net/jwilkes/summer-of-code-ideas-list,http://disis.music.vt.edu/cgi-bin/mailman/listinfo/l2ork-dev,2019
Python Software Foundation,python,30,http://python-gsoc.org/,http://python-gsoc.org/index.html#contact,2019
QEMU,"linux, kvm, c, virtualization",3,https://wiki.qemu.org/Google_Summer_of_Code_2019,https://webchat.oftc.net/?nick=&channels=%23qemu-gsoc&uio=d4,2019
R project for statistical computing,"r-project, c, c++, fortran, javascript",30,https://github.com/rstats-gsoc/gsoc2019/wiki/table-of-proposed-coding-projects,https://github.com/rstats-gsoc/gsoc2019/wiki,2019
ReactOS,"c, c++, nt, win32, php",2,https://reactos.org/wiki/Google_Summer_of_Code_2019_Ideas,https://chat.reactos.org,2019
Read the Docs,"python, django, documentation, sphinx",2,https://docs.readthedocs.io/en/latest/gsoc.html,https://docs.readthedocs.io/en/latest/contribute.html?highlight=irc#get-in-touch,2019
Red Hen Lab,"nlp, python, asr, opencv, machine learning",15,https://sites.google.com/site/distributedlittleredhen/summer-of-code/google-summer-of-code-2019-ideas-page,http://redhen-gsoc.slack.com,2019
RoboComp," python, c++11, component-based development, qt,  opencv",10,https://robocomp.github.io/web/blog/gsoc/ideas2019,https://groups.google.com/forum/?hl=en#!forum/robocomp-dev,2019
Rocket.Chat," javascript, node.js,  react, ios,  android",15,https://rocket.chat/docs/contributing/google-summer-of-code-2019/#project-ideas,https://open.rocket.chat,2019
RTEMS Project,"c/c++,  python,  assembly,  posix ,  bsd unix",4,https://devel.rtems.org/wiki/Developer/OpenProjects,https://devel.rtems.org/wiki/Developer/IRC,2019
Ruby,"ruby, c",5,https://github.com/rubygsoc/rubygsoc/wiki/Ideas-List,http://slack.bundler.io,2019
Ruby Science Foundation,"ruby, c/c++, cuda, ai, machine learning",2,https://github.com/SciRuby/sciruby/wiki/Google-Summer-of-Code-2019-Ideas,http://sciruby.com,2019
SageMath,"python, cython",4,https://wiki.sagemath.org/GSoC/2019,https://groups.google.com/group/sage-gsoc/,2019
Salesforce,"scala,  apache spark, javascript,  nodejs, react",2,https://github.com/salesforce/gsoc,mailto:oss-gsoc@salesforce.com,2019
Samba,"c, smb",1,https://wiki.samba.org/index.php/SoC/Ideas,https://www.samba.org/samba/irc.html,2019
SCoRe Lab (Sustainable Computing Research Lab),"python, nodejs, android, golang",27,http://www.scorelab.org/gsoc-2019/,https://gitter.im/scorelab/scorelab,2019
ScummVM," c/c++, sdl,  opengl,  assembly, lua",3,https://wiki.scummvm.org/index.php?title=Summer_of_Code/GSoC_Ideas_2019,http://wiki.scummvm.org/index.php/Summer_of_Code/GSoC_Contact,2019
shogun.ml,"c++11, c++17,  python, swig, cmake",1,https://github.com/shogun-toolbox/shogun/wiki/Google-Summer-of-Code-2019-Projects,http://webchat.freenode.net/?channels=shogun&uio=d4,2019
Software and Computational Systems Lab at LMU Munich,"python, java, javascript",2,https://www.sosy-lab.org/gsoc/gsoc2019.php#ideas,mailto:info@sosy-lab.org,2019
Software Heritage," python,  javascript, postgres, django, git",3,https://wiki.softwareheritage.org/wiki/Google_Summer_of_Code_2019,https://www.softwareheritage.org/community/developers/,2019
SPDX (Software Product Data Exchange)," python,  java, golang, xml",8,https://wiki.spdx.org/view/GSOC/GSOC_ProjectIdeas,https://gitter.im/spdx-org,2019
strace,"linux, c, shell script, make, awk",2,https://strace.io/wiki/GoogleSummerOfCode2019,https://strace.io,2019
Submitty,"php, python, postgresql, c++, javascript",4,https://submitty.org/developer/project_ideas,https://join.slack.com/t/submitty/shared_invite/enQtMzE1NzgyMzUzNzI5LWNkNjUzYmZjOWJkNzdlM2QzNTM3MGYwNmQwMzQ3NjAwODUwYjI4MTRlZDNjZTFlMTk4ZjUzN2MxNzRjNDIwZTU,2019
Sugar Labs,"python, javascript",8,https://github.com/sugarlabs/GSoC/blob/master/Ideas-2019.md,https://github.com/sugarlabs/GSoC#how-to-talk-to-us-,2019
Swift,"swift, programming languages, compilers, ios, server",1,https://swift.org/gsoc2019,https://swift.org/community/#forums,2019
SymbiFlow,"verilog, fpga, xilinx",1,https://github.com/SymbiFlow/ideas/issues,https://webchat.freenode.net/?channels=symbiflow,2019
SymPy,python,10,https://github.com/sympy/sympy/wiki/GSoC-2019-Ideas,https://gitter.im/sympy/sympy,2019
Synfig,"c++, gtk, gtkmm",2,https://synfig-docs-dev.readthedocs.io/en/latest/gsoc/2019/ideas.html#projects-ideas,https://forums.synfig.org/c/development,2019
syslog-ng,"c, python, rest, json, elasticsearch",2,https://github.com/balabit/syslog-ng/wiki/GSoC2019-Idea-&-Project-list,https://gitter.im/balabit/syslog-ng,2019
TensorFlow,"machine learning, deep learning,  python, c/c++, data analysis",19,https://goo.gl/SHFKbb,https://gitter.im/tensorflow/gsoc,2019
The Apache Software Foundation," java,  c/c++",17,https://s.apache.org/gsoc2019ideas,https://wiki.apache.org/general/IRC,2019
The Center for Connected Learning and Computer-Based Modeling," javascript, scala",1,https://github.com/NetLogo/NetLogo/wiki/Google-Summer-of-Code-Ideas-List,https://gitter.im/NetLogo/GSoC,2019
The Eclipse Foundation,"java, jakarta,  javascript, openj9",10,https://wiki.eclipse.org/Google_Summer_of_Code_2019_Ideas,https://wiki.eclipse.org/IRC,2019
The GNU Project,operating systems,5,https://www.gnu.org/software/soc-projects/ideas.html,https://lists.gnu.org/mailman/listinfo/summer-of-code,2019
The Honeynet Project,"python, go,  c/c++, linux, data analysis",9,https://gsoc.honeynet.org,https://gsoc-slack.honeynet.org/,2019
The Java Pathfinder Team,"java, jvm, bytecode, android, distributed systems",6,https://github.com/javapathfinder/jpf-core/wiki/GSoC-2019-Project-Ideas,https://groups.google.com/forum/#!forum/java-pathfinder,2019
The Julia Language,julia,13,https://julialang.org/soc/ideas-page,https://julialang.org/community/,2019
The Libreswan Project,"c, nss, virtualization, python, web",1,https://libreswan.org/wiki/GSoC,https://libreswan.org/wiki/IRC,2019
The Linux Foundation,"c, c++, cups, ipp",7,https://wiki.linuxfoundation.org/gsoc/google-summer-code-2019,https://wiki.linuxfoundation.org/gsoc/google-summer-code-2019#if_you_have_questions,2019
The Mifos Initiative,"android, spring, java, angular, mysql",14,https://mifosforge.jira.com/wiki/spaces/RES/pages/812810251/Google+Summer+of+Code+2019+Ideas,https://gitter.im/openMF/mifos,2019
The NetBSD Foundation,"c, bsd, make",7,https://wiki.netbsd.org/projects/gsoc/,https://wiki.netbsd.org/community/,2019
The ns-3 Network Simulator Project," c/c++,  python",4,https://www.nsnam.org/wiki/GSOC2019Projects,https://ns-3.zulipchat.com,2019
The Perl Foundation,"c, perl, regular expressions, perl6, perl5",4,https://perl-gsoc-2019.github.io/ideas/,https://www.irc.perl.org/,2019
The Postgres Operator,"postgresql, kubernetes, golang, operator, patroni",1,https://github.com/zalando-incubator/postgres-operator/blob/master/docs/gsoc-2019/ideas.md,https://postgresteam.slack.com/messages/CFYAXFT7D/,2019
The Processing Foundation,"java,  javascript,  python,  android,  opengl",16,https://github.com/processing/processing/wiki/Project-List,https://discourse.processing.org/c/summer-of-code,2019
The Terasology Foundation,"java, lwjgl, opengl, blender, gradle",9,https://trello.com/b/5QQGHuTt/gsoc-ideas,https://github.com/MovingBlocks/Terasology/wiki/Using-IRC,2019
The Vega Project at the University of Washington,"typescript, d3, vega, vega-lite, react",2,https://docs.google.com/document/d/16uxN2ss7HHCUFqwv9znkvirMYjng3r-kFJ7nOW8azTY,https://bit.ly/join-vega-slack,2019
The Wine Project,"c,  opengl,  directx,  x11,  win32",0,https://wiki.winehq.org/SummerOfCode,https://www.winehq.org/irc,2019
TimVideos.us,"python, verilog, vhdl, c, fpga",0,https://code.timvideos.us/summer-of-code/,http://webchat.freenode.net/?channels=%23timvideos,2019
Tokio,"tokio_rs, rust",1,https://tokio.rs/gsoc/,https://gitter.im/tokio-rs/gsoc,2019
Tungsten Fabric,"linux, kubernetes,  python, networking,  c/c++",1,https://wiki.tungsten.io/display/TUN/GSoC+2019,https://tungsten.io/community/,2019
UCSC Xena,"javascript,  python,  clojure,  react",1,https://github.com/ucscXena/ucsc-xena-client/wiki/Google-Summer-of-Code-Ideas-2019,https://groups.google.com/forum/#!forum/xena-google-summer-of-code,2019
VideoLAN,"c, opengl, qt, assembly, c++",9,https://wiki.videolan.org/SoC_2019,https://www.videolan.org/support/,2019
webpack,"javascript, web development, webasssembly, node.js, html5/css3",2,https://docs.google.com/document/d/19ZCaBt5UQJ45reIpCKQo_oeICpk9sPW5YjqO7ciAQh4/edit?usp=sharing,http://webpack.js.org,2019
Wikimedia Foundation,"php, javascript, html, css, python",11,https://www.mediawiki.org/wiki/Google_Summer_of_Code/2019,https://wikimedia.zulipchat.com/#narrow/stream/180873-gsoc19-outreachy18,2019
X.Org Foundation,"opengl, vulkan, x11, wayland, opencl",2,https://www.x.org/wiki/SummerOfCodeIdeas/,https://www.x.org/wiki/SummerOfCodeIdeas/,2019
Xapian Search Engine Library,"c++, unicode, swig, linux",3,https://trac.xapian.org/wiki/GSoCProjectIdeas,https://trac.xapian.org/wiki/GSoC_IRC,2019
Xi Editor,"rust, swift",1,https://xi-editor.io/gsoc.html,https://xi.zulipchat.com/,2019
XMPP Standards Foundation (XSF),"asynchronous i/o, lua, xmpp, java, python 3",3,https://wiki.xmpp.org/web/GSoC/2019/Project_Ideas,https://wiki.xmpp.org/web/GSoC/2019#Join_the_group_chat.21,2019
xpra,"python, javascript, c",0,https://xpra.org/trac/wiki/ProjectIdeas,http://irc.freenode.net/winswitch,2019
XWiki,"java,  javascript,  html5,  css3,  velocity",3,http://gsoc.xwiki.org/,http://dev.xwiki.org/xwiki/bin/view/Community/Chat,2019
Zulip Open Source Project,"python, react native, django, javascript, electron",17,https://zulip.readthedocs.io/en/latest/overview/gsoc-ideas.html,https://chat.zulip.org/,2019
ZynAddSubFX," c/c++, ruby, midi, open-sound-control, opengl",1,https://github.com/zynaddsubfx/zyn-fusion-issues/wiki/GSOC-Ideas-2019,http://zynaddsubfx.sourceforge.net/support.html,2019
